No.001, 전자석을 이용한 기중기는 고철을 쉽게 이동시킬 수 있습니다., 하,
No.002, 자석 주위에 철 가루를 뿌리면 자기장에 의해 일정한 모양으로 배열됩니다., 하,
No.004, 에너지 전환이란 에너지의 형태가 바뀌는 것이다. 선풍기가 바람을 일으킬 수 있는 이유도 전기 에너지가 운동 에너지로 전환되었기 때문이다., 하,
No.005, 막대를 한 점으로 받치고 그 받침점을 중심으로 물체를 움직이는 장치를 지레라고 합니다., 하,
No.006, 막대를 받치는 곳과 막대를 누르는 곳 사이가 멀수록 책을 들어 올리는 데 필요한 힘의 크기는 작아집니다., 하,
No.008, 에너지는 일을 할 수 있는 능력이라는 의미이며 모든 물체는 에너지를 가지고 있습니다., 하,
No.009, 식용유와 철솜 가루를 넣고 섞은 다음 자석을 이용하면 자기장을 확인 할 수 있습니다., 하,
No.010, 철솜 가루도 철로 만들어져 있기 때문에 자석의 양극 쪽으로 모여들게 됩니다., 하,
No.012, 자석의 S극은 다른 극인 나침반 바늘의 N극을 끌어당깁니다., 하,
No.018, 전류가 흐르면 전자석이 자석의 성질을 가지게 되므로 철로 된 못핀이 붙습니다., 하,
No.019, 스위치가 연결된 전자석에서 스위치를 열면 전기 회로에 전류가 흐르지 않기 때문에 자석의 성질이 사라집니다., 하,
No.020, 나침반 바늘의 N극이 가리키는 쪽이 전자석의 S극이고 나침반 바늘의 S극이 가리키는 쪽이 전자석의 N극입니다., 하,
No.025, 자석 주위에 철 가루를 뿌리면 자기장에 의해 일정한 모양으로 배열됩니다., 하,
No.026, 자석 주위에서 철 가루. 자석. 나침반에 영향을 주는 자석의 힘이 미치는 공간을 자기장이라고 합니다., 하,
No.028, 자기장이 철로 된 물체를 끌어당기는 성질과 극끼리 밀어내고 끌어당기는 성질을 일상생활에서 많이 이용하고 있습니다., 하,
No.032, 전자석은 전류가 흘러야 자석의 성질을 갖습니다., 하,
No.035, 전자석에 전류가 흐르면 자석과 같이 N극과 S극이 생깁니다., 하,
No.039, 철 가루나 철솜 가루 같이 철로 된 물체이어야 자석에 끌립니다., 하,
No.041, 전류가 흐르면 자기장이 생겨 나침반 바늘이 움직입니다., 하,
No.044, 전선에 전류가 흐르면 주위에 자기장이 생겨 나침반 바늘이 움직입니다., 하,
No.047, 에나멜선에 전류가 흐르면 전구에 불이 켜지고 전자석이 자석의 성질을 갖게 됩니다., 하,
