No.038, 다음과 같이 식용유와 철솜 가루가 들어 있는 병 주위에 원형 자석을 대어 보았을 때 알 수 있는 점을 [보기]에서 골라 기호를 쓰시오., B, 상, 철가루와 자기장,
No.058, 이 실험에서 막대 자석을 시계 방향으로 90° 돌려 놓았을 때 철 가루가 늘어선 모양을 바르게 나타낸 것의 기호를 쓰시오., B, 상, 철가루와 자기장,
No.119, 다음 실험에서 철가루가 늘어서는 모양을 보고 알 수 있는 점은 어느 것입니까?, 5, 상, 철가루와 자기장,
No.125, 다음 중 자기장에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 1, 상, 자석의 성질,
No.009, 다음 ㈎와 ㈏에 해당되는 물질을 바르게 짝지은 것은 어느 것입니까?, 3, 하, 철가루와 자기장,
No.010, 다음 ㉢ 과정의 실험 결과에 맞게 (     ) 안에 들어갈 알맞은 말을 쓰시오., 양극, 하, 철가루와 자기장,
No.012, 다음과 같이 자석 주위에 나침반을 놓았을 때 자석의 S극을 가리키는 부분은 나침반 바늘의 어느 쪽인지 기호를 쓰시오., A, 하, 자석의 성질,
No.025, 다음과 같이 막대 자석 주위에 철 가루가 늘어선 모양을 보고 알 수 있는 점은 무엇입니까?, 3, 하, 철가루와 자기장,
No.026, 다음과 같이 나침반 바늘이 움직이게 영향을 준 자석의 힘이 미치는 공간을 무엇이라고 하는지 쓰시오, 자기장, 하, 자석의 성질,
No.028, 다음 중 일상생활에서 자기장을 이용한 물건이 아닌 것은 어느 것입니까?, 1, 하, 자석의 성질,
No.039, 다음의 실험에서 철솜 가루 대신 사용하기에 알맞은 것은 어느 것입니까?, 4, 하, 자석의 성질,
No.054, 다음 실험 결과 철솜 가루가 가장 많이 모이는 부분을 [보기]에서 골라 기호를 쓰시오., A, 하, 철가루와 자기장,
No.057, 이 실험에서 자석 주위에 철 가루가 늘어서게 하는 눈에 보이지 않는 힘을 무엇이라고 하는지 쓰시오., 자기장, 하, 철가루와 자기장,
No.061, 다음 중 어떤 공간에 자기장이 있는지 없는지를 확인할 때 사용할 수 있는 것을 고르시오., 2, 하, 자석의 성질,
No.076, 이 실험 장치를 꾸밀 때 필요한 준비물이 아닌 것은 어느 것입니까?, 2, 하, 철가루와 자기장,
No.078, 이 실험에서 철솜 가루 대신 사용할 수 있는 것은 어느 것입니까?, 3, 하, 철가루와 자기장,
No.079, 다음 중 철 가루가 늘어선 모양을 바르게 설명한 것을 고르시오., 4, 하, 철가루와 자기장,
No.080, 다음 (     ) 안에 알맞은 말을 쓰시오., 자기장, 하, 철가루와 자기장,
No.095, 이 실험에서 철솜 가루가 늘어서는 모양을 바르게 설명한 것은 어느 것입니까?, 5, 하, 철가루와 자기장,
No.096, 철 솜 가루가 둥근 막대자석을 중심으로 반원 모양을 그리며 늘어서는 이유는 무엇입니까?, 4, 하, 철가루와 자기장,
No.099, 다음 말굽 자석 위에 투명 아크릴판을 놓고 철 가루를 뿌렸을 때 철 가루가 잘 모이지 않는 곳은 어디인지 기호를 쓰시오., C, 하, 철가루와 자기장,
No.120, 다음은 막대자석 주위에 나침반을 놓은 모습입니다. 막대자석의 ㉠은 무슨 극인지 쓰시오.(     극), N, 하, 자석의 성질,
No.121, 다음은 막대자석 주위에 나침반을 놓은 모습입니다. 막대자석의 ㉡은 무슨 극인지 쓰시오.(     극), S, 하, 자석의 성질,
No.011, 다음 중 막대 자석 위에 투명 아크릴판을 놓고 철가루를 뿌렸을 때 철 가루가 늘어선 모습을 바르게 설명한 고르시오., 4, 중, 철가루와 자기장,
No.040, 이 실험에서 철 가루가 늘어서는 모양을 보고 알 수 있는 점은 무엇입니까?, 3, 중, 철가루와 자기장,
No.055, 다음 실험을 통해 알 수 있는 사실로 옳은 것은 어느 것입니까?, 5, 중, 철가루와 자기장,
No.056, 위 실험에서 막대 자석 주위에 철 가루가 늘어선 모양을 바르게 설명하지 않은 것은 어느 것입니까?, 4, 중, 철가루와 자기장,
No.059, 나침반 바늘이 다음과 같은 곳을 찾아 기호를 쓰시오., B, 중, 자석의 성질,
No.060, 이 자석을 반대로 돌리면 어떻게 됩니까?, 5, 중, 자석의 성질,
No.077, 철솜 가루가 든 병 옆에 둥근 막대 자석을 대어 보면 철솜 가루는 어떻게 늘어섭니까?, 5, 중, 철가루와 자기장,
No.097, 철가루가 늘어서는 모양을 보고 알 수 있는 사실은 무엇입니까?, 4, 중, 철가루와 자기장,
No.098, 철 가루가 이와 같이 늘어서는 공간을 무엇이라고 합니까?, 자기장, 중, 철가루와 자기장,
No.100, 다음은 막대자석 주위에 놓인 나침반의 모습입니다. 고장 났을 것으로 생각되는 나침반을 골라 기호를 쓰시오., A, 중, 자석의 성질,
No.101, 다음 (   ) 안의 알맞은 기호를 순서대로 쓰시오., AB, 중, 자석의 성질,
No.117, 다음 중 식용유와 철 솜 가루를 투명 플라스틱 병에 넣고 잘 흔들었을 때 첨 솜 가루가 자석의 양 극 쪽으로 많이 모이는 현상이 나타나는 까닭을 바르게 설명한 것은 어느 것입니까?, 3, 중, 철가루와 자기장,
No.118, 다음 중 위 실험에서 철 가루가 늘어선 모양으로 옳은 것을 고르시오., 2, 중, 철가루와 자기장,
No.122, 다음과 같이 막대자석 주위의 ㉠ 위치에 나침반을 놓았을 때 나침반의 바늘이 가리키는 방향으로 옳은 것은 어느 것입니까?, 2, 중, 자석의 성질,
