No.014, 전지의 극을 반대로 연결하거나 전지의 두 극에 연결되어 있던 전선을 교차하여 반대로 연결하면 전류의 방향을 바꿀 수 있습니다., 상,
No.015, 자기장은 전류가 흐르는 전선 주위의 모든 점에서 전선과 수직으로 만들어지므로 자기장의 방향과 나침반 바늘의 방향이 평행할땐 나침반 바늘은 움직이지 않습니다., 상,
No.027, 전류의 방향과 전선의 위치가 다르면 같은 방향으로 움직입니다., 상,
No.038, 원형 자석은 넓적한 곳이 극이므로 옆면은 철솜 가루를 약하게 끌어당깁니다., 상,
No.043, 나침반과 전선의 위치가 반대이거나 전류의 방향이 반대이면 나침반 바늘이 반대 방향으로 움직입니다., 상,
No.052, 집게 전선의 색깔은 전자석의 세기와 아무 관계가 없습니다., 상,
No.058, 자석을 돌리면 주위의 자기장도 함께 회전하는데 이때 철 가루도 함께 움직입니다., 상,
No.082, 전류의 방향이 다르면 나침반 바늘이 가리키는 방향이 다릅니다., 상,
No.085, 나침반 바늘이 가리키는 극이 S극일땐 자석의 N극과 같습니다., 상,
No.091, 클립이 끌려오기 시작하는 거리가 3cm면 클립이 끌려오기 시작하는 거리가 5cm보다 붙은 클립의 수가 적고 클립이 끌려오기 시작하는 거리가 7cm면 클립이 끌려오기 시작하는 거리가 5cm보다 붙은 클립의 수가 많습니다., 상,
No.093, 전자석의 세기가 가장 약하다는것은 에나멜선이 가장 적게 감겨 있거나 직렬로 연결된 전지의 수가 가장 적다는 의미입니다., 상,
No.102, 전선 주위의 자기장으로 인해 나침반의 방향이 달라집니다., 상,
No.113, 전지를 직렬 연결하면 전지의 수에 비례하여 전압이 늘어나지만 전지를 병렬 연결하면 전지의 한 개와 같습니다. 따라서 3V 전지 두 개를 직렬로 연결하면 6V의 세기가 됩니다., 상,
No.119, 자석 주위에서 철 가루가 일정한 모양으로 배열되는 것은 자석 주위에 자석의 힘이 작용하는 공간이 있기 때문입니다., 상,
No.125, 자기장은 자석의 힘이 미치는 공간이고 자석을 돌리면 주위의 자기장도 함께 회전합니다., 상,
No.129, +전류가 아래로 흐를 때 나침반이 아래 있다면 나침반 바늘은 오른쪽으로 움직입니다., 상,
No.130, 전선이 놓인 위치를 바꾸거나 전류가 흐르는 방향을 바꾸면 자기장의 방향이 바뀌어 전류가 흐르는 전선 주위에 놓은 나침반 바늘이 움직이는 방향이 반대가 됩니다., 상,
No.131, 전선 주위에서는 전선에 수직한 방향으로 자기장이 생기기 때문에 전선을 나침반 위에 나침반 바늘과 수직하게 놓은 다음 전류를 흘려 주면 나침반 바늘이 움직이지 않고 처음 상태를 그대로 유지하거나 나침반 바늘이 정반대로 움직이기도 합니다., 상,
No.154, 고정 도르래는 힘의 이득을 볼 수 없는 도구입니다., 상,
No.165, 지레를 이용하면 작은 힘으로도 무거운 물체를 쉽게 들어 올릴 수 있어 편리합니다., 상,
No.171, 경사면을 이용하면 힘은 덜 들지만 이동 거리는 더 늘어나게 됩니다., 상,
No.183, 지레의 원리를 이용한 도구에는 지레의 3요소가 위치하는데 다리미는 지레의 3요소를 찾을 수 없습니다., 상,
No.199, 에너지 효율은 에너지가 전환되는 과정에서 손실되는 에너지의 정도를 나타내는 것입니다., 상,
No.241, 우리가 일상생활에서 에너지를 절약하면 지구의 기온이 올라가는 것을 완화시킬 수 있습니다., 상,
No.245, 움직 도르래를 이용하여 추를 들어 올리는 경우에는 작용점이 받침점과 힘점 사이에 존재합니다., 상,
No.251, 고정 도르래로는 힘의 방향만 바꿀 수 있습니다., 상,
