No.003, 전자석의 세기를 비교하는 방법 ① 전자석에 붙는 못핀의 개수를 비교한다. ② 나침반 바늘이 움직이는 각도를 비교한다. ③ 못핀이 전자석에 달라붙기 시작하는 거리를 비교한다., 중,
No.007, 힘의 크기가 클수록 용수철이 늘어나는 길이는 길어집니다., 중,
No.011, 자석은 철로 된 물체를 끌어당기는 성질을 가지고 있으므로 철 가루는 자석 주위에 모입니다., 중,
No.013, 전선을 나침반 아래에 놓고 전류가 위에서 아래로 흐르면 나침반 바늘의 N극은 왼쪽으로 움직입니다., 중,
No.016, 나침반 바늘의 S극이 ㉡을 가리키고 있으므로 ㉡은 N극이고 반대편인 ㉠은 S극이 됩니다., 중,
No.017, 전자석 만드는 방법은 종이로 감싼 못을 에나멜선으로 감기→에나멜선 양 끝의 피복을 벗겨 내기→에나멜선의 양 끝을 전기 회로에 연결하기 이다., 중,
No.021, 막대 자석은 영구 자석이고 전자석은 N극과 S극의 위치를 바꿀 수 있고 자기장의 세기를 변화시킬 수 있고 전류가 흐를 때만 자석의 성질을 가집니다., 중,
No.022, 나무젓가락을 이용해 전자석을 만들면 못을 이용했을 때와 비교하여 자기장의 세기가 약 1/1000 정도로 약해집니다., 중,
No.023, 간이 전동기를 만들기 위해서는 전지. 전지 끼우개. 구리판. 자석. 에나멜선. 사포 등이 필요합니다., 중,
No.024, 간이 전동기를 만들 땐 자석은 자기력이 센 것일수록 좋습니다., 중,
No.029, 직선 전선에서 자기장은 전선과 수직으로 생기므로 처음부터 전선과 나침반 바늘을 수직으로 놓으면 전류에 의한 자기장의 방향을 관찰할 수 없습니다., 중,
No.030, 고리 모양의 전선은 막대 자석과 같이 N극과 S극이 생깁니다., 중,
No.031, N극의 자기장이 생기는 곳의 나침반 바늘은 S극이 고리 쪽을 향합니다., 중,
No.033, 전자석에 전류가 흐르지 않으면 못핀이 붙지 않고 전류가 흐르면 못핀이 붙습니다., 중,
No.034, 전자석은 영구 자석과 달리 극을 바꿀 수 있으며 전류의 방향에 따라 극의 방향도 바뀝니다., 중,
No.036, 전자석은 직렬로 연결한 전지의 수 에나멜선의 감은 수를 달리하여 자석의 세기를 조절할 수 있습니다., 중,
No.037, 에나멜선의 양쪽 끝을 다 벗기면 고리는 돌아가지 않고 한 방향으로 고정됩니다., 중,
No.040, 자석은 주위에 힘을 미치며 이 힘이 미치는 공간을 자기장이라고 합니다., 중,
No.042, 전선의 위쪽과 아래쪽에서 나침반 바늘의 방향은 반대가 됩니다., 중,
No.045, 전지의 극을 바꾸면 자기장의 방향이 반대가 되어 나침반 바늘의 방향도 반대가 됩니다., 중,
No.046, 전지의 극을 바꾸어 연결하면 전류의 방향이 바뀌므로 자기장의 방향이 바뀌어 나침반 바늘이 가리키는 방향이 달라집니다., 중,
No.049, 두 극이 같은 극이므로 척력이 작용하여 서로 밀어냅니다., 중,
No.050, 에나멜선에 전류를 흘려보내면 전자석이 자석과 같은 성질을 가지므로 주위의 철 가루가 늘어선 모양이 자석일 때와 비슷합니다., 중,
No.053, 전지의 개수가 많을수록 에나멜선의 감은 수가 많을수록 전자석의 세기가 세어집니다., 중,
No.055, 자석 주위에는 자석의 힘이 미치는 공간이 있어 철솜 가루가 일정한 모양으로 늘어섭니다., 중,
No.056, 철 가루는 자석을 감싸는 모양을 하며 양극 주변에 많이 모여 있습니다., 중,
No.059, 나침반 바늘의 N극은 막대 자석의 S극을 가리키고 나침반 바늘의 S극은 막대 자석의 N극을 가리킵니다., 중,
No.060, 자석의 극이 반대가 되면 나침반 바늘의 방향도 반대가 됩니다., 중,
No.064, 전류가 흐르면 자기장이 생겨 나침반 바늘이 움직입니다., 중,
No.065, 나침반 바늘의 N극이 가리키는 방향이 S극입니다., 중,
No.066, 고리 모양의 전선에는 두 개의 극이 있습니다., 중,
No.067, 나침반 바늘의 S극이 가리키는 방향이 N극입니다., 중,
No.068, 전지의 극을 반대로 하면 나침반 바늘이 처음과 반대로 움직입니다., 중,
No.070, 전류가 흐를 때 전자석에는 두 개의 극이 생깁니다., 중,
No.071, 전류의 방향이 바뀔 때 두 극의 위치가 바뀝니다., 중,
No.072, 나무젓가락을 사용한 전자석은 자기장의 세기가 약합니다., 중,
No.073, 전동기는 전류를 이용하여 전자석을 회전시키는 장치입니다. 자석은 회전하는 장치가 아닙니다., 중,
No.074, 에나멜선에 항상 전류가 흐르게 되면 에나멜선 고리가 막대 자석처럼 작용해서 둥근 자석과 에나멜선 고리가 서로 당기는 방향으로 향한 채 정지해 있게 됩니다., 중,
No.075, 에나멜선이 반만 벗겨진 부분이 아래쪽을 향하면 전류가 흘러 돌아가는 힘이 생깁니다., 중,
