No.003, 다음 중 전자석의 세기를 비교하는 방법이 옳지 않은 사람은 누구인지 쓰시오., 대일, 중, 전자석,
No.007, 다음은 도르래를 사용하지 않을 때와 사용할 때의 용수철이 늘어난 길이의 결과입니다. 이 실험을 통해 용수철이 늘어난 길이는 무엇을 나타내는지 쓰시오., 힘의 크기, 중, 도르레,
No.011, 다음 중 막대 자석 위에 투명 아크릴판을 놓고 철가루를 뿌렸을 때 철 가루가 늘어선 모습을 바르게 설명한 고르시오., 4, 중, 철가루와 자기장,
No.013, 다음과 같은 방향으로 전류가 흘렸을 때 나침반 바늘은 어느 쪽으로 움직이는지 기호를 쓰시오., A, 중, 전류와 자기장,
No.016, 나침반 바늘이 가리키는 방향을 보고 전류가 흐르는 고리 모양의 전선에서 두 극을 바르게 나타낸 것은 어느 것입니까?, 4, 중, 전류와 자기장,
No.017, 다음을 전자석을 만드는 순서대로 바르게 기호를 쓰시오., BAC, 중, 전자석,
No.021, 다음 중 전자석과 막대 자석의 공통점은 어느 것입니까?, 2, 중, 전자석,
No.022, 다음과 같이 나무젓가락과 못에 에나멜선을 감아 각각 전자석을 만들었을 때 전자석의 세기가 더 센 경우의 기호를 쓰시오. (단 에나멜선을 감는 막대의 종류를 뺀 나머지 조건은 모두 같게 하였습니다.), B, 중, 전자석,
No.023, 간이 전동기를 만드는 과정에 맞게 순서대로 기호를 쓰시오., BDAC, 중, 간이 전동기,
No.024, 다음 간이 전동기를 만들 때 주의할 점으로 옳지 않은 것은 어느 것입니까?, 1, 중, 간이 전동기,
No.029, 다음과 같이 전선을 나침반 바늘과 수직으로 놓은 후 전류를 흐르게 하면 나침반 바늘은 어떻게 됩니까?, 3, 중, 전류와 자기장,
No.030, 다음과 같이 나침반 바늘이 움직였을 때 고리 모양의 전선에 생긴 ㉠의 극을 쓰시오., N, 중, 전류와 자기장,
No.031, 다음 실험에서 나침반을 ㉠의 위치로 옮기면 어떻게 됩니까?, 4, 중, 전류와 자기장,
No.033, 이 실험을 통해서 알 수 있는 전자석의 특징은 무엇입니까?, 3, 중, 전자석,
No.034, 다음 중 전자석의 극을 바꿀 수 있는 방법은 무엇입니까?, 2, 중, 전자석,
No.036, 다음과 같은 전자석에서 전자석의 세기를 세게 할 수 있는 방법을 고르시오., 2, 중, 전자석,
No.037, 다음과 같은 간이 전동기를 만들 때 에나멜선의 양 끝인 ㉠과 ㉡의 피복은 어떻게 해야 합니까?, 3, 중, 간이 전동기,
No.040, 이 실험에서 철 가루가 늘어서는 모양을 보고 알 수 있는 점은 무엇입니까?, 3, 중, 철가루와 자기장,
No.042, 이 실험에서 전선을 나침반 아래로 옮겨놓을 때 나타나는 변화로 옳은 것은 어느 것입니까?, 4, 중, 전류와 자기장,
No.045, 이 실험에서 전지의 극을 바꾸면 어떻게 됩니까?, 3, 중, 전류와 자기장,
No.046, 이 실험에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 4, 중, 전류와 자기장,
No.049, 이 실험에서 전자석의 ㈎ 부분에 막대 자석의 N극을 가져다 대었을 때의 결과로 옳은 것을 [보기]에서 골라 기호를 쓰시오., B, 중, 전자석,
No.050, 이 실험에서 전자석 위에 투명 아크릴판을 깔고 철 가루를 뿌렸을 때 나타난 모습으로 옳은 것을 골라 기호를 쓰시오., A, 중, 전자석,
No.053, 다음 중 전자석의 세기가 가장 센 경우는 언제입니까?, 4, 중, 전자석,
No.055, 다음 실험을 통해 알 수 있는 사실로 옳은 것은 어느 것입니까?, 5, 중, 철가루와 자기장,
No.056, 위 실험에서 막대 자석 주위에 철 가루가 늘어선 모양을 바르게 설명하지 않은 것은 어느 것입니까?, 4, 중, 철가루와 자기장,
No.059, 나침반 바늘이 다음과 같은 곳을 찾아 기호를 쓰시오., B, 중, 자석의 성질,
No.060, 이 자석을 반대로 돌리면 어떻게 됩니까?, 5, 중, 자석의 성질,
No.064, 다음과 같이 전선 위에 나침반을 올려놓고 전류를 흘려 보냈습니다. 이 실험 결과를 바르게 설명한 것은 어느 것입니까?, 2, 중, 전류와 자기장,
No.065, 다음은 고리 모양의 전선 주위에 나침반을 놓고 전류를 흐르게 한 것입니다. 고리 모양의 전선에서 ㉡에 해당하는 극을 쓰시오., N, 중, 전류와 자기장,
No.066, 이 실험에서 고리 모양의 전선에 대한 설명으로 옳은 것을 [보기]에서 골라 기호를 쓰시오., B, 중, 전류와 자기장,
No.067, 이 실험에서 전류가 흐르는 고리 모양 전선의 극을 찾아 다음과 같이 정리하였습니다. (   ) 안에 들어갈 알맞은 극을 쓰시오., N, 중, 전류와 자기장,
No.068, 이 실험에서 전지의 극을 반대로 하였을 때 나침반 바늘이 움직인 모습으로 옳은 것의 기호를 쓰시오., A, 중, 전류와 자기장,
No.070, 다음과 같이 전자석 주위에 놓은 나침반 바늘의 움직임을 관찰하여 전자석의 ㉠에 해당하는 극을 쓰시오., S, 중, 전자석,
No.071, 다음 중 전자석의 성질이 아닌 것은 어느 것입니까?, 2, 중, 전자석,
No.072, 다음 중 자기장의 세기가 더 약한 전자석의 기호를 쓰시오., B, 중, 전자석,
No.073, 다음 중 우리 생활에서 전동기가 사용되는 곳이 아닌 것은 어느 것입니까?, 1, 중, 간이 전동기,
No.075, 다음은 간이 전동기가 돌아가는 원리를 설명한 것입니다. (   ) 안에 들어갈 알맞은 말을 쓰시오., 아래쪽, 중, 간이 전동기,
No.077, 철솜 가루가 든 병 옆에 둥근 막대 자석을 대어 보면 철솜 가루는 어떻게 늘어섭니까?, 5, 중, 철가루와 자기장,
No.081, 전선을 나침반 바늘 위에 나란하게 놓은 다음. 전류를 흘려 주면 나침반 바늘은 어떻게 됩니까?, 4, 중, 전류와 자기장,
No.083, 다음과 같이 전선을 나침반 위에 나침반 바늘과 수직하게 놓은 후 전기 회로의 스위치를 닫았더니 나침반 바늘이 움직이지 않았습니다. 그 까닭은 무엇인지 다음 (     ) 안의 알맞은 말을 고르시오., 수직, 중, 전류와 자기장,
